"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2020","3.510","3.731","3.731","3.510","3.83K","-5.65%"
"Aug 17, 2020","3.720","4.133","4.133","3.720","2.81K","6.29%"
"Aug 14, 2020","3.500","3.500","3.500","3.500","-","-16.47%"
"Aug 13, 2020","4.190","4.190","4.190","4.190","-","26.97%"
"Aug 12, 2020","3.300","3.700","3.700","3.300","0.28K","-7.56%"
"Aug 11, 2020","3.570","3.590","3.590","3.570","4.51K","-6.18%"
"Aug 06, 2020","3.805","3.970","3.970","3.590","2.65K","-4.40%"
"Aug 05, 2020","3.980","3.400","3.980","3.400","27.89K","-0.25%"
"Aug 04, 2020","3.990","3.990","3.990","3.990","-","-1.48%"
"Aug 03, 2020","4.050","4.250","4.250","3.791","3.31K","-4.71%"
"Jul 31, 2020","4.250","4.250","4.250","4.250","-","14.96%"
"Jul 24, 2020","3.697","4.250","4.250","3.600","0.68K","18.87%"
"Jul 22, 2020","3.110","3.110","3.110","3.110","-","-24.61%"
"Jul 21, 2020","4.125","4.125","4.125","4.125","-","-20.67%"
"Jul 20, 2020","5.200","4.350","5.200","4.350","0.87K","39.90%"
"Jul 17, 2020","3.717","4.400","4.400","3.717","0.56K","-11.50%"
"Jul 16, 2020","4.200","3.745","4.200","3.745","1.82K","-1.18%"
"Jul 15, 2020","4.250","4.350","4.350","4.250","0.48K","-2.30%"
"Jul 14, 2020","4.350","4.350","4.350","4.350","-","-10.42%"
"Jul 09, 2020","4.856","4.850","5.000","4.280","2.62K","-10.07%"
"Jul 08, 2020","5.400","4.300","5.400","4.290","1.53K","22.17%"
"Jul 07, 2020","4.420","4.420","4.420","4.420","-","-19.64%"
"Jul 06, 2020","5.500","3.160","5.500","3.160","9.83K","14.58%"
"Jul 02, 2020","4.800","3.750","5.000","3.750","1.97K","-3.81%"
"Jul 01, 2020","4.990","4.790","4.990","4.790","0.48K","0.60%"
"Jun 30, 2020","4.960","4.680","4.960","4.680","0.38K","9.49%"
"Jun 29, 2020","4.530","4.780","4.780","4.530","1.34K","5.84%"
"Jun 26, 2020","4.280","3.960","4.626","3.960","1.57K","-25.95%"
"Jun 25, 2020","5.780","4.262","6.100","3.860","71.24K","9.06%"
"Jun 24, 2020","5.300","3.772","7.000","3.630","9.15K","44.41%"
"Jun 23, 2020","3.670","3.580","4.227","3.580","6.72K","-11.35%"
"Jun 22, 2020","4.140","4.140","4.140","4.140","-","3.50%"
"Jun 19, 2020","4.000","4.080","4.080","3.950","3.11K","8.40%"
"Jun 18, 2020","3.690","3.550","3.690","3.550","115.04K","3.94%"
"Jun 17, 2020","3.550","3.550","3.550","3.550","-","2.60%"
"Jun 16, 2020","3.460","3.460","3.460","3.460","-","-0.57%"
"Jun 15, 2020","3.480","3.620","3.668","3.420","2.56K","-0.85%"
"Jun 10, 2020","3.510","3.610","3.610","3.510","300.00K","-13.12%"
"Jun 08, 2020","4.040","3.835","4.040","3.835","0.28K","1.25%"
"Jun 05, 2020","3.990","3.990","3.990","3.990","-","1.53%"
"Jun 03, 2020","3.930","3.870","3.930","3.870","0.57K","10.70%"
"Jun 01, 2020","3.550","3.550","3.550","3.550","-","3.20%"
"May 20, 2020","3.440","3.490","3.540","3.440","5.29K","1.06%"
"May 19, 2020","3.404","3.404","3.404","3.404","-","2.19%"
"May 15, 2020","3.331","3.331","3.331","3.331","-","7.11%"
"May 14, 2020","3.110","3.595","3.595","3.110","1.07K","-13.13%"
"May 13, 2020","3.580","3.560","3.580","3.560","22.21K","13.65%"
"May 12, 2020","3.150","3.150","3.150","3.150","-","-1.87%"
"May 11, 2020","3.210","3.310","3.530","3.210","18.16K","-10.83%"
"May 07, 2020","3.600","3.600","3.600","3.600","-","0.00%"
"May 06, 2020","3.600","3.530","3.600","3.530","0.92K","2.86%"
